0	0   0	86	1	2
0	0	0	85	1	2
0	0	0	85	-1	2
0	0	0	86	-1	2
0	0	0	87	-1	2
0	0	0	85	1	2
0	0	0	86	-1	2
0	0	0	85	1	2
0	0	0	85	-1	2
0	0	0	86	-1	2
0	0	0	86	-1	2
0	0	0	87	-1	2
0	0	0	88	-1	2
0	0	0	89	-1	2
0	0	0	92	-1	2
0	0	0	93	-1	2
0	0	0	67	1	2
0	0	0	64	1	2
0	0	0	63	1	2
0	0	0	62	1	2
0	0	0	62	-1	2
0	0	0	63	-1	2
0	0	0	64	-1	2
0	0	0	65	-1	2
0	0	0	68	-1	2
0	0	0	69	-1	2
0	0	0	126	-1	2
0	0	0	124	1	2
0	0	0	122	1	2
0	0	0	121	1	2
0	0	0	119	1	2
0	0	0	120	-1	2
0	0	0	119	1	2
0	0	0	120	-1	2
0	0	0	120	-1	2
0	0	0	122	-1	2
0	0	0	123	-1	2
0	0	0	127	-1	2
0	0	0	130	-1	2
0	0	0	146	-1	2
0	0	0	141	1	2
0	0	0	141	-1	2
0	0	0	140	1	2
0	0	0	139	1	2
0	0	0	139	-1	2
0	0	0	140	-1	2
0	0	0	141	-1	2
0	0	0	96	1	2
0	0	0	91	1	2
0	0	0	87	1	2
0	0	0	86	1	2
0	0	0	85	1	2
0	0	0	85	-1	2
0	0	0	85	-1	2
0	0	0	86	-1	2
0	0	0	86	-1	2
0	0	0	83	1	2
0	0	0	90	-1	2
0	0	0	76	1	2
0	0	0	65	1	2
0	0	0	63	1	2
0	0	0	64	-1	2
0	0	0	66	-1	2
0	0	0	68	-1	2
0	0	0	72	-1	2
0	0	0	75	-1	2
0	0	0	142	-1	2
0	0	0	124	1	2
0	0	0	122	1	2
0	0	0	121	1	2
0	0	0	122	-1	2
0	0	0	120	1	2
0	0	0	119	1	2
0	0	0	120	-1	2
0	0	0	120	-1	2
0	0	0	122	-1	2
0	0	0	124	-1	2
0	0	0	126	-1	2
0	0	0	128	-1	2
0	0	0	146	-1	2
0	0	0	144	1	2
0	0	0	118	1	2
0	0	0	140	-1	2
0	0	0	138	1	2
0	0	0	137	1	2
0	0	0	137	-1	2
0	0	0	138	-1	2
0	0	0	138	-1	2
0	0	0	140	-1	2
0	0	0	97	1	2
0	0	0	96	1	2
0	0	0	91	1	2
0	0	0	89	1	2
0	0	0	88	1	2
0	0	0	87	1	2
0	0	0	85	1	2
0	0	0	86	-1	2
0	0	0	85	1	2
0	0	0	84	1	2
0	0	0	85	-1	2
0	0	0	86	-1	2
0	0	0	87	-1	2
0	0	0	82	1	2
0	0	0	83	-1	2
0	0	0	75	1	2
0	0	0	70	1	1
0	0	0	66	1.2	1
0	0	0	64	1.2	1
0	0	0	64	-0.8	1
0	0	0	65	-0.8	1
0	0	0	67	-0.8	1
0	0	0	69	-0.8	1
0	0	0	73	-0.8	1
0	0	0	84	-0.8	1
0	0	0	149	-0.8	1
