[[ 0.          0.          0.         -0.38713542  0.03636364]
 [ 1.          1.          0.         -0.44963542 -0.23636364]
 [ 1.          1.          0.         -0.35588542 -0.46363636]
 [ 1.          1.          0.         -0.43401042 -0.23636364]
 [ 1.          1.          0.         -0.42880208 -0.69090909]
 [ 1.          1.          0.         -0.43921875 -0.23636364]
 [ 1.          1.          0.         -0.43921875 -0.69090909]
 [ 1.          1.          0.         -0.43921875 -0.69090909]
 [ 1.          1.          0.         -0.43921875 -0.69090909]
 [ 1.          1.          1.         -0.42880208 -0.69090909]
 [ 1.          1.          1.         -0.34546875 -0.46363636]
 [ 1.          1.          1.         -0.41317708 -0.23636364]
 [ 1.          1.          1.         -0.42880208 -0.23636364]
 [ 1.          1.          1.         -0.43921875 -0.23636364]
 [ 1.          1.          0.         -0.43921875 -0.69090909]
 [ 1.          1.          0.         -0.42880208 -0.69090909]
 [ 1.          1.          0.         -0.41838542 -0.69090909]
 [ 1.          1.          0.         -0.43401042 -0.23636364]
 [ 1.          1.          0.         -0.42880208 -0.69090909]
 [ 1.          0.          0.         -0.44963542 -0.23636364]
 [ 1.          0.          0.         -0.44963542 -0.69090909]
 [ 1.          0.          0.         -0.44963542 -0.73636364]
 [ 1.          0.          0.          0.55036458 -0.50909091]
 [ 1.          0.          0.          0.51911458 -0.00909091]
 [ 0.          0.          0.          0.51911458 -0.19090909]
 [ 0.          0.          0.          0.51911458 -0.19090909]
 [ 0.          0.          0.          0.52432292 -0.19090909]
 [ 0.          0.          0.          0.50869792  0.26363636]
 [ 0.          0.          0.          0.50348958  0.26363636]
 [ 0.          0.          0.          0.49828125  0.26363636]
 [ 0.          0.          0.          0.48265625  0.26363636]
 [ 0.          0.          0.          0.47223958  0.26363636]
 [ 0.          0.          0.          0.46182292  0.26363636]
 [ 0.          0.          0.          0.44098958  0.26363636]
 [ 0.          0.          0.          0.43057292  0.26363636]
 [ 0.          0.          0.          0.40973958  0.26363636]
 [ 0.          0.          0.          0.39932292  0.26363636]
 [ 0.          0.          0.          0.38369792  0.26363636]
 [ 0.          0.          0.          0.37328125  0.26363636]
 [ 0.          0.          0.          0.36286458  0.26363636]
 [ 0.          0.          0.          0.35765625  0.26363636]
 [ 0.          0.          0.          0.33682292  0.26363636]
 [ 0.          0.          0.          0.32640625  0.26363636]
 [ 0.          0.          0.          0.31078125  0.26363636]
 [ 0.          0.          0.          0.29515625  0.26363636]
 [ 0.          0.          1.          0.28994792 -0.00909091]
 [ 0.          0.          1.          0.27953125 -0.00909091]
 [ 0.          0.          1.          0.26911458 -0.00909091]
 [ 0.          0.          1.          0.26390625 -0.00909091]
 [ 0.          0.          1.          0.24307292 -0.00909091]
 [ 0.          0.          1.          0.22744792 -0.00909091]
 [ 0.          0.          1.          0.21703125 -0.00909091]
 [ 0.          0.          0.          0.21182292  0.26363636]
 [ 0.          0.          0.          0.20140625  0.26363636]
 [ 0.          0.          0.          0.19098958  0.26363636]
 [ 0.          0.          0.          0.26911458 -0.19090909]
 [ 0.          0.          0.          0.17015625  0.26363636]
 [ 0.          0.          0.          0.14932292  0.26363636]
 [ 0.          0.          0.          0.13890625  0.26363636]
 [ 0.          0.          0.          0.12848958  0.26363636]
 [ 0.          0.          0.          0.11807292  0.26363636]
 [ 0.          0.          0.          0.10765625  0.26363636]
 [ 0.          0.          0.          0.10244792  0.26363636]
 [ 0.          0.          0.          0.08161458  0.26363636]
 [ 0.          0.          0.          0.08161458 -0.19090909]
 [ 0.          0.          0.          0.06598958  0.26363636]
 [ 0.          1.          0.          0.03994792 -0.00909091]
 [ 0.          1.          0.          0.01390625 -0.00909091]
 [ 0.          1.          0.          0.00348958 -0.00909091]
 [ 0.          1.          0.         -0.01213542 -0.00909091]
 [ 0.          1.          0.         -0.02255208 -0.00909091]
 [ 0.          1.          0.         -0.03296875 -0.00909091]
 [ 0.          1.          0.         -0.03817708 -0.00909091]
 [ 0.          1.          0.         -0.05380208 -0.00909091]
 [ 0.          1.          0.         -0.05901042 -0.00909091]
 [ 0.          1.          0.         -0.06942708 -0.00909091]
 [ 0.          1.          0.         -0.07463542 -0.00909091]
 [ 0.          1.          0.         -0.08505208 -0.00909091]
 [ 0.          1.          0.         -0.09026042 -0.00909091]
 [ 0.          1.          0.         -0.10067708 -0.00909091]
 [ 0.          0.          0.         -0.11109375  0.26363636]
 [ 0.          0.          0.         -0.12151042  0.26363636]
 [ 0.          0.          0.         -0.13192708  0.26363636]
 [ 0.          0.          0.         -0.13713542  0.26363636]
 [ 0.          0.          0.         -0.14755208  0.26363636]
 [ 0.          0.          0.         -0.15276042  0.26363636]
 [ 0.          0.          0.         -0.16317708  0.26363636]
 [ 0.          0.          0.         -0.16838542  0.26363636]
 [ 0.          0.          1.         -0.17880208 -0.00909091]
 [ 0.          0.          1.         -0.18401042 -0.00909091]
 [ 0.          0.          1.         -0.19442708 -0.00909091]
 [ 0.          0.          1.         -0.19963542 -0.00909091]
 [ 0.          0.          0.         -0.21005208  0.26363636]
 [ 0.          0.          0.         -0.22046875  0.26363636]
 [ 0.          0.          0.         -0.23088542  0.26363636]
 [ 0.          0.          0.         -0.24651042  0.26363636]
 [ 0.          0.          0.         -0.25171875  0.26363636]
 [ 0.          0.          0.         -0.25692708  0.26363636]
 [ 0.          0.          0.         -0.26734375  0.26363636]
 [ 0.          0.          0.         -0.27255208  0.26363636]]
