[[ 0.          0.          0.          0.05480969  0.28409091]
 [ 0.          0.          0.          0.04096886  0.73863636]
 [ 0.          0.          0.          0.02366782  0.73863636]
 [ 0.          0.          0.          0.0132872   0.73863636]
 [ 0.          0.          0.          0.00982699  0.73863636]
 [ 0.          0.          0.         -0.00401384  0.51136364]
 [ 0.          0.          0.         -0.01093426  0.51136364]
 [ 0.          0.          1.         -0.01439446  0.23863636]
 [ 0.          0.          0.         -0.02131488  0.51136364]
 [ 0.          0.          0.         -0.02823529  0.51136364]
 [ 0.          0.          0.         -0.0316955   0.51136364]
 [ 1.          1.          0.         -0.04207612  0.23863636]
 [ 1.          1.          0.         -0.04207612 -0.21590909]
 [ 1.          1.          1.         -0.04207612 -0.26136364]
 [ 1.          1.          1.         -0.05245675  0.19318182]
 [ 1.          1.          1.         -0.04207612 -0.26136364]
 [ 1.          1.          1.         -0.04207612 -0.26136364]
 [ 1.          1.          1.         -0.04207612 -0.26136364]
 [ 1.          1.          1.         -0.04207612 -0.26136364]
 [ 1.          1.          1.         -0.04207612 -0.26136364]
 [ 1.          1.          1.         -0.05245675  0.19318182]
 [ 1.          1.          1.         -0.01093426 -0.26136364]
 [ 1.          1.          1.         -0.01439446  0.23863636]
 [ 1.          1.          1.         -0.05245675  0.23863636]
 [ 1.          1.          1.         -0.02131488 -0.21590909]
 [ 1.          1.          1.         -0.04207612  0.23863636]
 [ 0.          1.          1.         -0.04553633  0.23863636]
 [ 0.          1.          1.         -0.04207612 -0.26136364]
 [ 0.          1.          1.         -0.03861592 -0.21590909]
 [ 0.          1.          1.         -0.00747405 -0.21590909]
 [ 0.          1.          1.         -0.0316955   0.23863636]
 [ 0.          1.          1.         -0.03515571  0.23863636]
 [ 0.          1.          1.         -0.0316955  -0.21590909]
 [ 0.          0.          1.         -0.02477509 -0.21590909]
 [ 0.          0.          1.          0.94754325  0.01136364]
 [ 0.          0.          1.          0.44235294  0.46590909]
 [ 0.          0.          1.          0.44235294  0.01136364]
 [ 0.          0.          1.         -0.02131488  0.23863636]
 [ 0.          0.          1.          0.93716263  0.01136364]
 [ 0.          0.          1.         -0.02823529  0.23863636]
 [ 0.          0.          1.         -0.01093426 -0.21590909]
 [ 0.          1.          1.         -0.05245675  0.23863636]
 [ 0.          1.          1.         -0.02477509 -0.21590909]
 [ 0.          1.          1.         -0.03861592  0.23863636]
 [ 0.          1.          1.         -0.02823529 -0.21590909]
 [ 0.          1.          1.         -0.03861592  0.23863636]
 [ 0.          1.          1.         -0.03861592 -0.21590909]
 [ 0.          1.          1.         -0.03861592 -0.21590909]
 [ 0.          1.          1.         -0.03861592 -0.21590909]
 [ 0.          1.          1.         -0.04207612  0.23863636]
 [ 0.          1.          1.         -0.04207612 -0.21590909]
 [ 0.          1.          1.         -0.04207612 -0.21590909]
 [ 0.          1.          1.         -0.04553633  0.23863636]
 [ 0.          1.          1.         -0.03515571 -0.21590909]
 [ 0.          1.          1.         -0.04553633  0.23863636]
 [ 1.          1.          1.         -0.04207612 -0.21590909]
 [ 1.          1.          1.         -0.04207612 -0.21590909]
 [ 1.          1.          1.         -0.03861592 -0.21590909]
 [ 1.          1.          1.         -0.02477509 -0.21590909]
 [ 1.          1.          1.         -0.0316955   0.23863636]
 [ 1.          1.          1.         -0.04207612  0.23863636]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02477509 -0.21590909]
 [ 1.          1.          1.         -0.02823529  0.23863636]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02477509 -0.21590909]
 [ 1.          1.          1.         -0.02823529  0.23863636]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02477509 -0.21590909]
 [ 1.          1.          1.         -0.02823529  0.23863636]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.0316955   0.23863636]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.0316955   0.23863636]
 [ 1.          1.          1.         -0.0316955  -0.21590909]
 [ 1.          1.          1.         -0.0316955  -0.21590909]
 [ 1.          1.          1.         -0.0316955  -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.0316955   0.23863636]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.02823529 -0.21590909]
 [ 1.          1.          1.         -0.0316955   0.23863636]
 [ 1.          1.          1.         -0.0316955  -0.21590909]
 [ 1.          1.          1.         -0.03515571  0.23863636]
 [ 1.          1.          1.         -0.0316955  -0.21590909]]
