[[ 1.          1.          0.         -0.13241667 -0.23681818]
 [ 0.          1.          0.         -0.13241667 -0.19136364]
 [ 0.          1.          0.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.11575    -0.19136364]
 [ 0.          0.          1.         -0.12408333  0.26318182]
 [ 0.          0.          1.         -0.10741667 -0.19136364]
 [ 0.          0.          1.         -0.08241667 -0.19136364]
 [ 0.          0.          1.         -0.09908333  0.26318182]
 [ 0.          0.          1.         -0.15741667  0.26318182]
 [ 0.          0.          1.          0.84258333  0.03590909]
 [ 0.          0.          0.          0.83425     0.76318182]
 [ 0.          0.          0.          0.82591667  0.76318182]
 [ 0.          0.          1.          0.80925     0.49045455]
 [ 0.          0.          1.          0.79258333  0.49045455]
 [ 0.          0.          1.          0.77591667  0.49045455]
 [ 0.          0.          1.          0.76758333  0.49045455]
 [ 0.          0.          1.          0.75925     0.49045455]
 [ 0.          0.          1.          0.75091667  0.49045455]
 [ 0.          0.          1.          0.75091667  0.03590909]
 [ 0.          0.          1.          0.75091667  0.03590909]
 [ 0.          0.          1.          0.75925     0.03590909]
 [ 0.          0.          1.          0.75925     0.03590909]
 [ 0.          0.          1.          0.75091667  0.49045455]
 [ 0.          0.          1.         -0.09075     0.26318182]
 [ 0.          0.          1.         -0.08241667 -0.19136364]
 [ 0.          0.          1.         -0.09908333  0.26318182]
 [ 0.          0.          1.         -0.10741667  0.26318182]
 [ 0.          0.          1.         -0.10741667 -0.19136364]
 [ 0.          0.          1.         -0.11575     0.26318182]
 [ 0.          0.          1.         -0.12408333  0.26318182]
 [ 0.          0.          1.         -0.11575    -0.19136364]
 [ 0.          0.          1.         -0.12408333  0.26318182]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          1.          1.         -0.13241667  0.26318182]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.14075     0.26318182]
 [ 0.          1.          1.         -0.14075    -0.19136364]
 [ 0.          1.          1.         -0.14075    -0.19136364]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.14075     0.26318182]
 [ 0.          1.          1.         -0.14075    -0.19136364]
 [ 0.          1.          1.         -0.14075    -0.19136364]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.14075     0.26318182]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.14075     0.26318182]
 [ 0.          0.          1.         -0.13241667 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.13241667  0.26318182]
 [ 0.          0.          1.         -0.13241667 -0.19136364]
 [ 0.          0.          1.         -0.13241667 -0.19136364]
 [ 0.          0.          1.         -0.13241667 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.13241667  0.26318182]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          1.          1.         -0.12408333 -0.19136364]
 [ 0.          1.          1.         -0.14075     0.26318182]
 [ 0.          1.          1.         -0.14075    -0.19136364]
 [ 0.          1.          1.         -0.14075    -0.19136364]
 [ 0.          1.          1.         -0.14075    -0.19136364]
 [ 0.          1.          1.         -0.14075    -0.19136364]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.14075     0.26318182]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.14075     0.26318182]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          1.          1.         -0.14075     0.26318182]
 [ 0.          1.          1.         -0.13241667 -0.19136364]
 [ 0.          0.          1.         -0.13241667 -0.19136364]
 [ 0.          0.          1.         -0.13241667 -0.19136364]
 [ 0.          0.          1.         -0.13241667 -0.19136364]
 [ 0.          0.          1.         -0.13241667 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.13241667  0.26318182]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.11575    -0.19136364]
 [ 0.          0.          1.         -0.11575    -0.19136364]
 [ 0.          0.          1.         -0.12408333  0.26318182]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.12408333 -0.19136364]
 [ 0.          0.          1.         -0.11575    -0.19136364]
 [ 0.          0.          1.         -0.09908333 -0.19136364]
 [ 0.          0.          1.         -0.11575     0.26318182]
 [ 0.          1.          1.         -0.12408333  0.26318182]
 [ 0.          1.          1.         -0.13241667  0.26318182]
 [ 0.          1.          1.         -0.13241667 -0.19136364]]
