2019-01-11 17:17:05.628200	S_L		S_M		S_R		Dis_1		Dis_2		Act
2019-01-11 17:17:05.687782	0		1		0		110		106		w
2019-01-11 17:17:05.844046	0		1		0		110		106		w
2019-01-11 17:17:05.999289	0		1		0		110		106		w
2019-01-11 17:17:06.154978	0		1		0		110		106		w
2019-01-11 17:17:06.310814	0		1		0		110		106		w
2019-01-11 17:17:06.466163	0		1		0		110		107		w
2019-01-11 17:17:06.621385	0		1		0		110		105		w
2019-01-11 17:17:06.776707	0		1		0		111		106		w
2019-01-11 17:17:06.932197	0		1		0		110		107		w
2019-01-11 17:17:07.092939	0		1		0		111		103		w
2019-01-11 17:17:07.248033	0		0		1		112		95		w
2019-01-11 17:17:07.402444	0		0		0		117		86		w
2019-01-11 17:17:07.556420	0		0		0		118		80		w
2019-01-11 17:17:07.710363	0		0		0		122		76		w
2019-01-11 17:17:07.863860	0		0		0		125		62		w
2019-01-11 17:17:08.017518	0		0		0		127		54		w
2019-01-11 17:17:08.170594	0		0		0		130		47		d
2019-01-11 17:17:08.323141	0		0		0		132		39		d
2019-01-11 17:17:08.476067	1		0		1		137		44		d
2019-01-11 17:17:08.636609	0		0		0		184		123		d
2019-01-11 17:17:08.799244	0		0		0		166		121		w
2019-01-11 17:17:08.959521	0		0		0		184		115		w
2019-01-11 17:17:09.118578	0		0		0		178		107		w
2019-01-11 17:17:09.276895	0		0		0		174		98		w
2019-01-11 17:17:09.434757	0		0		0		173		89		w
2019-01-11 17:17:09.592863	0		0		0		169		81		w
2019-01-11 17:17:09.750027	0		0		0		165		71		w
2019-01-11 17:17:09.907401	0		0		0		163		63		w
2019-01-11 17:17:10.063281	0		0		0		161		56		w
2019-01-11 17:17:10.219265	1		0		0		157		45		d
2019-01-11 17:17:10.373899	0		0		1		156		40		d
2019-01-11 17:17:10.535775	0		0		1		174		156		d
2019-01-11 17:17:10.697645	0		0		0		190		140		d
2019-01-11 17:17:10.857795	0		0		0		164		135		w
2019-01-11 17:17:11.017186	1		0		0		155		127		w
2019-01-11 17:17:11.178436	1		0		0		188		117		w
2019-01-11 17:17:11.338300	0		0		0		189		107		w
2019-01-11 17:17:11.497550	0		0		0		188		98		w
2019-01-11 17:17:11.656146	0		0		0		184		89		w
2019-01-11 17:17:11.814096	0		0		0		184		80		w
2019-01-11 17:17:11.971872	0		0		0		183		70		w
2019-01-11 17:17:12.129469	1		0		0		182		61		w
2019-01-11 17:17:12.286175	0		0		0		181		52		w
2019-01-11 17:17:12.441781	0		0		0		181		43		w
2019-01-11 17:17:12.596967	0		0		0		183		34		w
2019-01-11 17:17:12.751845	0		0		0		181		27		d
2019-01-11 17:17:12.906798	0		0		0		184		31		d
2019-01-11 17:17:13.070843	0		1		0		273		84		d
2019-01-11 17:17:13.236311	0		0		0		214		167		w
2019-01-11 17:17:13.399282	0		0		1		193		158		w
2019-01-11 17:17:13.561660	0		0		0		193		149		w
2019-01-11 17:17:13.723405	0		0		0		190		139		w
2019-01-11 17:17:13.884536	1		0		0		188		130		w
